Tomas Cerny,cernyRocks,Tomas_Cerny@baylor.edu,abc,visa,1234567823456789,0
Weston Straw,wolfof365,Weston_Straw@baylor.edu,golfer,MasterCard,9876543210987654321,1
Weston Straw,WStraw,Weston_Straw@baylor.edu,golfer,MasterCard,23165486724,0
Andrew Case,a,Andrew_Case1@baylor.edu,a,Visa,123412341234,0
Matthew Darby,MDarby,Matthew_Darby@baylor.edu,abc,MasterCard,23165486724,0
Mark Du,MDu,Mark_Du1@baylor.edu,abc,abc,23165486724,1
Maggie Burton,MBurton,Maggie_Burton@baylor.edu,abc,MasterCard,23165486724,1
Stevie Damrel,SDamrel,Stevie_Damrel@baylor.edu,abc,MasterCard,23165486724,1
first last,temp,user@email.com,password,Visa,1234567891223,0
maggie burton,burton_maggie,burton.maggie81@gmail.com,abcdefg,American Express,111122223333444,0
