Tomas Cerny,cernyRocks,Tomas_Cerny@baylor.edu,abc,Visa,23165486724
Weston Straw,wolfof365,Weston_Straw@baylor.edu,golfer,MasterCard,9876543210987654321
Weston Straw,WStraw,Weston_Straw@baylor.edu,golfer,MasterCard,23165486724
Andrew Case,ACase,Andrew_Case1@baylor.edu,abc,MasterCard,23165486724
Matthew Darby,MDarby,Matthew_Darby@baylor.edu,abc,MasterCard,23165486724
Mark Du,MDu,Mark_Du1@baylor.edu,MasterCard,abc,23165486724
Maggie Burton,MBurton,Maggie_Burton@baylor.edu,abc,MasterCard,23165486724
Stevie Damrel,SDamrel,Stevie_Damrel@baylor.edu,abc,MasterCard,23165486724
first last,user,user@email.com,password,Visa,1234567891223
first last,user,email@email.com,password,Visa,123456789012
first last,user,email@email.com,password,MasterCard,1234567890123
